,mae,mape,mse,P-time,T_time
architope,0.2852089735257147,15.017675900852065,0.20998492420160597,28.085085074106853,66.51781063079834
ffNN,0.29697249863120373,16.407643381335347,0.21145441932660514,306.0144615014394,306.0144615014394
ffNN-dp,0.41159694373018624,19.94866518863616,0.39586308848052265,119.06762441794078,119.06762441794078
